Afador,"The Afador is a mixed breed dog–a cross between the Afghan Hound and Labrador Retriever dog breeds. Loyal, energetic, and affectionate, these pups inherited some of the best qualities from both of their parents.

Afadors are also sometimes known as the Afghan Lab. You can find these mixed breed dogs in shelters and breed specific rescues, so remember to always adopt! Don’t shop if you’re looking to add an Afador to your home!


Afadors make excellent family pets, although they do better with older children and seasoned dog owners who can give the breed the training and attention they require. Afadors also make for good guard dogs, and they’re alert to strangers. The mixed breed is very energetic and athletic, so access to a safe outdoor space is preferred.",L,,,,,,small,medium,large,big
Alaskan Klee Kai,"Small, smart, and energetic, the Alaskan Klee Kai is a relatively new breed that looks like a smaller version of the Siberian Husky, and even the name “Klee Kai” comes from an Inuit term meaning “small dog.”

While Alaskan Klee Kais may resemble larger Husky breeds, they have some key differences, especially when it comes to temperament, that distinguish it from its ancestor working class dogs of the north. This breed is more suited to the life of a companion, though the Alaskan Klee Kai shares the high energy of the Huskies and demands plenty of exercise.


They also tend to be shy around strangers and are prone to expressing their emotions with whines and barks. An inexperienced owner would find it difficult to take on the challenge of caring for an Alaskan Klee Kai, but for an owner who keeps up with training and physical activity, this breed is sweet, loyal, and happy to shower loved ones with affection.",S,,,,,,,,,
Alaskan Malamute,"The Alaskan Malamute features a powerful, sturdy body built for stamina and strength. It reigns as one of the oldest dog breeds whose original looks have not been significantly altered. This intelligent canine needs a job and consistent leadership to avoid becoming bored or challenging to handle.

Novice owners, beware. Dogs of this breed are sensitive and need plenty of companionship and open space. They are not well-suited to apartment life, and they are certainly high-shedding pooches who need plenty of grooming to keep their coats healthy. Expect to clean up dog hair all year long, and especially during shedding season. Alaskan Malamutes are high-energy dogs, and therefore require vigorous exercise. If you plan to leave them home while you’re at work, you may see some anxious, destructive behavior. A dog walker or pet sitter during the day is practically a must if you can’t be home, yourself. An Alaskan Malamute will do well with an experienced owner, lots of open space to roam and burn off energy, and a cooler climate. However, if you can meet this breed’s needs, you’ll have an intelligent, highly-trainable, loving companion for life.",L,,,,,,,,,
American Bulldog,"The American Bulldog is stocky and muscular, but also agile and built for chasing down stray cattle and helping out with work on the farm. In fact, some are known to jump six feet or more into the air.

American Bulldogs are intelligent and affectionate, which makes them great, protective family dogs, though they have high exercise needs and require an experienced, active owner. They can vary in appearance, as there are multiple types, including the Bully or Classic type, also known as the Johnson type, the Standard or Performance type, also called the Scott type, and hybrids of the two.

With patient training and care, American Bulldogs can make loving family companions.",L,,,,,,,,,
American English Coonhound,"A descendent of the English Foxhound, this hunting dog breed is known for his speed, endurance, and loud voice in the field. The American English Coonhound will bark and bay at home, too, making him a poor choice if you’ve got nearby neighbors. He needs lots of exercise.",M,,,,,,,,,
American Eskimo Dog,"Called “the dog beautiful” by his admirers, the American Eskimo Dog, or “Eskie,” is a striking fellow with his white coat, sweet expression, and black eyes. He’s a Nordic dog breed, a member of the Spitz family. Eskies are lively, active companion dogs who love to entertain and join in on all family activities. They are outgoing and friendly with family and friends, but reserved with strangers. Although the Eskie is a small dog — 10 to 30 pounds — he has a big-dog attitude.
",S,,,,,,,,,
American Foxhound,"Easygoing, sweet, kind, and loyal, the American Foxhound dog breed belongs to a way of life that has continued for more than two centuries, but he has the potential to be a modern-day companion as well. His stamina and love of running make him a great jogging partner for athletic owners, and his mild nature makes him an excellent family dog, so long as he gets the exercise he craves.
",L,,,,,,,,,
American Leopard Hound,"The American Leopard Hound is a purebred dog whose ancestors came from Mexico by way of Spanish conquistadors who sailed to North America. They are energetic, sociable, and intelligent pooches who possess all-around great qualities.

The American Leopard Hound goes by other names, such as the Leopard Cur, American Leopard, and American Leopard Cur. You can look for this pure breed by checking your local shelters or rescues. Remember it’s best to adopt and not shop!


These sweet pups are natural hunting dogs and have very high energy, which means they do best in homes with yards. They’re able to bond strongly with humans, which makes them well-suited for households of all types, from single pet parents to families with children. If you want an energetic dog who loves to run and keep you on your toes, alerts you to any potential dangers, and adores you completely, the American Leopard Hound may be the right dog for you!",L,,,,,,,,,
American Pit Bull Terrier,"The American Pit Bull Terrier is a companion and family dog breed. Originally bred to “bait” bulls, the breed evolved into all-around farm dogs, and later moved into the house to become “nanny dogs” because they were so gentle around children. Their tenacity, gameness, and courage make them popular competitors in the sports of weight pulling, agility, and obedience competition.",L,,,,,,,,,
American Pugabull,"The American Pugabull is a mixed breed dog–a cross between the American Bull Dog and Pug dog breeds. Medium in size, alert, and loyal, these pups inherited some of the best qualities from both of their parents.

American Pugabulls are also called Bull Pugs. Despite their unfortunate status as a designer breed, you can find these mixed-breed dogs in shelters and breed specific rescues, so remember to adopt! Don’t shop!


These adorable pups fit in nicely with big families and also make great apartment dogs for active urban dwellers They’re loyal and playful yet very protective–if you’re a family member, this pup will not hesitate to protect you. They will alert to any suspicious characters who approach your door. They will also alert you to any non suspicious characters. Socialize them early with people and animals. Read on and find out if the American Pugabull is the right dog for you!",L,,,,,,,,,
